Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Бабчинецька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Барська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Бершадська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Бібрська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Бісковицька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Боринська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Бориславська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Брацлавська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Бродівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Буська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Вапнярська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Великолюбінська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Великомостівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Вендичанська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Жданівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Вінницька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Вороновицька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Гайсинська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Глинянська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Глуховецька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Гніванська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Гніздичівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Городківська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Городоцька,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Грабовецько-Дулібівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Давидівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Вінницька,Дашівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Джулинська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Джуринська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Добромильська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Добросинсько-Магерівська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
Львівська,Добротвірська,Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,Навчання загального управлінського характеру,1
